gene_id	high_expression
gene_0000	1
gene_0001	1
gene_0002	1
gene_0003	1
gene_0004	1
gene_0005	1
gene_0006	1
gene_0007	1
gene_0008	1
gene_0009	1
gene_0010	1
gene_0011	1
gene_0012	1
gene_0013	1
gene_0014	1
gene_0015	1
gene_0016	1
gene_0017	1
gene_0018	1
gene_0019	1
gene_0020	1
gene_0021	1
gene_0022	1
gene_0023	1
gene_0024	1
gene_0025	1
gene_0026	1
gene_0027	1
gene_0028	1
gene_0029	1
gene_0030	1
gene_0031	1
gene_0032	1
gene_0033	1
gene_0034	1
gene_0035	1
gene_0036	1
gene_0037	1
gene_0038	1
gene_0039	1
gene_0040	1
gene_0041	1
gene_0042	1
gene_0043	1
gene_0044	1
gene_0045	1
gene_0046	1
gene_0047	1
gene_0048	1
gene_0049	1
gene_0050	1
gene_0051	1
gene_0052	1
gene_0053	1
gene_0054	1
gene_0055	1
gene_0056	1
gene_0057	1
gene_0058	1
gene_0059	1
gene_0060	1
gene_0061	1
gene_0062	1
gene_0063	1
gene_0064	1
gene_0065	1
gene_0066	1
gene_0067	1
gene_0068	1
gene_0069	1
gene_0070	1
gene_0071	1
gene_0072	1
gene_0073	1
gene_0074	1
gene_0075	1
gene_0076	1
gene_0077	1
gene_0078	1
gene_0079	1
gene_0080	1
gene_0081	1
gene_0082	1
gene_0083	1
gene_0084	1
gene_0085	1
gene_0086	1
gene_0087	1
gene_0088	1
gene_0089	1
gene_0090	1
gene_0091	1
gene_0092	1
gene_0093	1
gene_0094	1
gene_0095	1
gene_0096	1
gene_0097	1
gene_0098	1
gene_0099	1
gene_0100	1
gene_0101	1
gene_0102	1
gene_0103	1
gene_0104	1
gene_0105	1
gene_0106	1
gene_0107	1
gene_0108	1
gene_0109	1
gene_0110	1
gene_0111	1
gene_0112	1
gene_0113	1
gene_0114	1
gene_0115	1
gene_0116	1
gene_0117	1
gene_0118	1
gene_0119	1
gene_0120	1
gene_0121	1
gene_0122	1
gene_0123	1
gene_0124	1
gene_0125	1
gene_0126	1
gene_0127	1
gene_0128	1
gene_0129	1
gene_0130	1
gene_0131	1
gene_0132	1
gene_0133	1
gene_0134	1
gene_0135	1
gene_0136	1
gene_0137	1
gene_0138	1
gene_0139	1
gene_0140	1
gene_0141	1
gene_0142	1
gene_0143	1
gene_0144	1
gene_0145	1
gene_0146	1
gene_0147	1
gene_0148	1
gene_0149	1
gene_0150	1
gene_0151	1
gene_0152	1
gene_0153	1
gene_0154	1
gene_0155	1
gene_0156	1
gene_0157	1
gene_0158	1
gene_0159	1
gene_0160	1
gene_0161	1
gene_0162	1
gene_0163	1
gene_0164	1
gene_0165	1
gene_0166	1
gene_0167	1
gene_0168	1
gene_0169	1
gene_0170	1
gene_0171	1
gene_0172	1
gene_0173	1
gene_0174	1
gene_0175	1
gene_0176	1
gene_0177	1
gene_0178	1
gene_0179	1
gene_0180	1
gene_0181	1
gene_0182	1
gene_0183	1
gene_0184	1
gene_0185	1
gene_0186	1
gene_0187	1
gene_0188	1
gene_0189	1
gene_0190	1
gene_0191	1
gene_0192	1
gene_0193	1
gene_0194	1
gene_0195	1
gene_0196	1
gene_0197	1
gene_0198	1
gene_0199	1
gene_0200	1
gene_0201	1
gene_0202	1
gene_0203	1
gene_0204	1
gene_0205	1
gene_0206	1
gene_0207	1
gene_0208	1
gene_0209	1
gene_0210	1
gene_0211	1
gene_0212	1
gene_0213	1
gene_0214	1
